  PID  PPID  %CPU    RSS COMM
  707     1   0.0  37952 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  708     1   0.0  23120 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  709     1   0.0   6688 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  710     1   0.0  14448 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  711     1   0.0  39392 /usr/libexec/secinitd
  712     1   0.1 635952 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
  713     1   0.0  58400 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  714     1   0.0  13360 /usr/libexec/frauddefensed
  715     1   0.0  22928 /usr/libexec/findmylocateagent
  717     1   0.0  17664 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  718     1   0.0  12176 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  720     1   0.0  73056 /usr/libexec/routined
  721     1   0.0 245312 /System/Applications/Messages.app/Contents/MacOS/Messages
  722     1   0.0  29936 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  723     1   0.0  97504 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  724     1   0.0 171408 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  725     1   0.0   5168 /System/Library/CoreServices/APFSUserAgent
  726     1   0.0  61904 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  727     1   0.0   9520 /System/Library/CoreServices/lockoutagent
  728     1   0.1 442256 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  729     1   0.0  13472 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  733     1   0.0   2544 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  734     1   0.0  73184 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  735     1   0.0   3504 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  736     1   0.0   2928 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  737     1   0.0  50128 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  738     1   0.0  14944 /usr/sbin/filecoordinationd
  739     1   0.0  14816 /usr/libexec/dmd
  740     1   0.0  91856 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  741     1   0.0  76336 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  742     1   0.0 448592 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  743     1   0.0  19552 /usr/sbin/systemsoundserverd
